売上ID,日付,担当者,店舗,チャネル,来店経路,大項目,機種カテゴリ,機種,メニュー,仕入先,IMEI,売上金額,原価,粗利,値引き,最終売上,備考,登録日時
20251221-001-01,2025-12-21,土本,鯖江店,店舗,通りがかり,iPad修理,iPad,Pad8,TH-F,アイサポ,,11801,3990,7811,0,11801,,2025/12/21 16:12:12
20251221-001-02,2025-12-21,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム単,アイサポ,,2000,150,1850,0,2000,,2025/12/21 16:12:12
20251221-002-01,2025-12-21,龍田,鯖江店,店舗,通りがかり,iPhone修理,iPhone,11,TH-L,HW,,13073,1900,11173,0,13073,,2025/12/21 16:12:37
20251221-003-01,2025-12-21,龍田,鯖江店,店舗,リピーター,中古販売,中古,12,64GB 並品,アイサポ,353304544330821,25436,10500,14936,0,25436,,2025/12/21 17:13:15
20251221-003-02,2025-12-21,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/21 17:13:15
20251221-003-03,2025-12-21,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,0,500,0,500,,2025/12/21 17:13:15
20251221-004-01,2025-12-21,その他,ECサイト,Shopify,ネット検索,中古販売,中古,13Pro,256GB 美品,アイサポ,351436771025617,82709,52400,30309,0,82709,,2025/12/21 19:38:42
20251221-004-02,2025-12-21,その他,ECサイト,Shopify,ネット検索,アクセサリ,アクセサリ,,フィルム単,アイサポ,,2000,150,1850,0,2000,,2025/12/21 19:38:42
20251221-005-01,2025-12-21,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,15Pro,未修理,アイサポ,,3000,0,3000,0,3000,,2025/12/21 19:39:39
20251221-006-01,2025-12-21,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/21 19:39:57
20251221-007-01,2025-12-21,堀,福井店,店舗,紹介,iPhone修理,iPhone,12mini,HGバッテリー,アイサポ,,10709,4340,6369,0,10709,,2025/12/21 19:40:34
20251221-007-02,2025-12-21,堀,福井店,店舗,紹介,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/21 19:40:34
20251221-008-01,2025-12-21,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/21 19:40:52
20251221-009-01,2025-12-21,堀,福井店,店舗,リピーター,iPhone修理,iPhone,13mini,手入力,HW,,5000,935,4065,0,5000,,2025/12/21 19:42:33
20251221-010-01,2025-12-21,堀,福井店,店舗,リピーター,iPhone修理,iPhone,SE3,バッテリー,アイサポ,,5891,2290,3601,324,5567,,2025/12/21 19:43:01
20251221-011-01,2025-12-21,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,11Pro,TH-F,アイサポ,,9982,5390,4592,0,9982,,2025/12/21 19:43:31
20251221-011-02,2025-12-21,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/21 19:43:31
20251221-012-01,2025-12-21,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/21 19:43:52
20251222-001-01,2025-12-22,土本,鯖江店,店舗,ネット検索,iPad修理,iPad,Pad8,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/22 13:19:19
20251222-002-01,2025-12-22,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/22 13:19:44
20251222-003-01,2025-12-22,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/22 13:20:05
20251222-004-01,2025-12-22,龍田,福井店,店舗,通りがかり,iPhone修理,iPhone,12ProMax,リアカメラ,アイサポ,,18000,9900,8100,0,18000,,2025/12/22 15:31:16
20251222-004-02,2025-12-22,龍田,福井店,店舗,通りがかり,iPhone修理,iPhone,12ProMax,カメラ窓,アイサポ,,9073,480,8593,4980,4093,,2025/12/22 15:31:16
20251222-004-03,2025-12-22,龍田,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/22 15:31:16
20251222-005-01,2025-12-22,龍田,福井店,店舗,通りがかり,iPhone修理,iPhone,11,TH-L,アイサポ,,13073,5280,7793,0,13073,,2025/12/22 15:31:39
20251222-006-01,2025-12-22,龍田,福井店,店舗,通りがかり,iPhone修理,iPhone,SE3,HGバッテリー,アイサポ,,8891,3590,5301,889,8002,,2025/12/22 15:32:19
20251222-006-02,2025-12-22,龍田,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/22 15:32:19
20251222-007-01,2025-12-22,堀,福井店,店舗,通りがかり,iPad修理,iPad,mini 6,バッテリー,アイサポ,,16346,2990,13356,0,16346,,2025/12/22 15:32:53
20251223-001-01,2025-12-23,龍田,ECサイト,メルカリ,ネット検索,中古販売,中古,XR,128GB リペア品,アイサポ,357379093893854,13436,8000,5436,0,13436,,2025/12/23 11:25:49
20251223-002-01,2025-12-23,龍田,鯖江店,店舗,通りがかり,iPhone修理,iPhone,12,バッテリー,アイサポ,,7709,2990,4719,0,7709,,2025/12/23 13:54:39
20251223-003-01,2025-12-23,龍田,鯖江店,店舗,通りがかり,iPhone修理,iPhone,8,バッテリー,アイサポ,,5255,2110,3145,0,5255,,2025/12/23 13:55:04
20251223-004-01,2025-12-23,龍田,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,ケース,アイサポ,,1000,100,900,500,500,,2025/12/23 13:55:30
20251223-005-01,2025-12-23,龍田,鯖江店,店舗,通りがかり,iPhone修理,iPhone,13ProMax,TH-L,HW,,22164,3800,18364,0,22164,,2025/12/23 13:56:00
20251223-005-02,2025-12-23,龍田,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,100,900,0,1000,,2025/12/23 13:56:00
20251223-006-01,2025-12-23,堀,福井店,店舗,通りがかり,その他,その他,,手入力,アイサポ,,3000,0,3000,0,3000,,2025/12/23 21:14:32
20251223-007-01,2025-12-23,堀,福井店,店舗,リピーター,iPad修理,iPad,Pad6,TH-F,アイサポ,,11801,2990,8811,650,11151,,2025/12/23 21:15:22
20251223-007-02,2025-12-23,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,2000,150,1850,0,2000,,2025/12/23 21:15:22
20251223-008-01,2025-12-23,堀,福井店,店舗,リピーター,iPhone修理,iPhone,SE2,手入力,アイサポ,,5000,715,4285,0,5000,,2025/12/23 21:16:18
20251223-009-01,2025-12-23,堀,福井店,店舗,リピーター,iPhone修理,iPhone,12Pro,バッテリー,HW,,7709,600,7109,0,7709,,2025/12/23 21:17:32
20251223-009-02,2025-12-23,堀,福井店,店舗,リピーター,データ移行,データ移行,,データ移行,アイサポ,,3000,0,3000,0,3000,,2025/12/23 21:17:32
20251223-009-03,2025-12-23,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/23 21:17:32
20251224-001-01,2025-12-24,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE3,バッテリー,アイサポ,,5891,2290,3601,0,5891,,2025/12/24 15:17:24
20251224-002-01,2025-12-24,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/24 15:17:40
20251224-003-01,2025-12-24,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/24 15:17:53
20251224-004-01,2025-12-24,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/24 15:18:07
20251224-005-01,2025-12-24,その他,ECサイト,メルカリ,ネット検索,中古販売,中古,12mini,128GB 美品,アイサポ,353016113246424,31618,20800,10818,0,31618,,2025/12/24 15:21:58
20251224-006-01,2025-12-24,堀,福井店,店舗,リピーター,その他,その他,,手入力,アイサポ,,5000,750,4250,0,5000,,2025/12/24 16:15:23
20251224-007-01,2025-12-24,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/24 17:15:43
20251224-008-01,2025-12-24,龍田,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/24 17:16:38
20251224-009-01,2025-12-24,龍田,鯖江店,店舗,リピーター,iPhone修理,iPhone,13ProMax,バッテリー,アイサポ,,9527,3740,5787,498,9029,,2025/12/24 17:21:51
20251224-010-01,2025-12-24,龍田,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE2,TH-L,HW,,6982,1250,5732,0,6982,,2025/12/24 17:24:48
20251224-011-01,2025-12-24,龍田,鯖江店,店舗,通りがかり,iPhone修理,iPhone,13Pro,水没未修理,アイサポ,,3000,0,3000,0,3000,,2025/12/24 18:52:37
20251225-001-01,2025-12-25,龍田,鯖江店,店舗,リピーター,iPhone修理,iPhone,13,バッテリー,アイサポ,,8618,3390,5228,0,8618,,2025/12/25 11:24:29
20251225-001-02,2025-12-25,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/25 11:24:29
20251225-002-01,2025-12-25,龍田,鯖江店,店舗,リピーター,iPhone修理,iPhone,11Pro,バッテリー,アイサポ,,6800,2790,4010,340,6460,,2025/12/25 11:25:18
20251225-003-01,2025-12-25,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,手入力,アイサポ,,2980,500,2480,0,2980,,2025/12/25 11:32:47
20251225-004-01,2025-12-25,堀,福井店,店舗,通りがかり,中古販売,中古,SE2,256GB 並品,アイサポ,356780113302621,17255,7600,9655,280,16975,,2025/12/25 12:34:28
20251225-004-02,2025-12-25,堀,福井店,店舗,通りがかり,データ移行,データ移行,,データ移行,アイサポ,,3000,0,3000,0,3000,,2025/12/25 12:34:28
20251225-005-01,2025-12-25,龍田,福井店,店舗,ネット検索,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,110,5326,,2025/12/25 16:11:01
20251225-006-01,2025-12-25,龍田,福井店,店舗,ネット検索,iPhone修理,iPhone,SE3,HGバッテリー,アイサポ,,8891,3590,5301,0,8891,,2025/12/25 16:11:20
20251225-007-01,2025-12-25,龍田,福井店,店舗,ネット検索,iPhone修理,iPhone,15,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/25 16:12:07
20251225-008-01,2025-12-25,龍田,福井店,店舗,リピーター,中古販売,中古,14,128GB 並品,アイサポ,350967681701724,56345,37300,19045,0,56345,,2025/12/25 16:16:44
20251225-008-02,2025-12-25,龍田,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/25 16:16:44
20251225-008-03,2025-12-25,龍田,福井店,店舗,リピーター,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,0,500,0,500,,2025/12/25 16:16:44
20251225-008-04,2025-12-25,龍田,福井店,店舗,リピーター,データ移行,データ移行,,データ移行,アイサポ,,3000,0,3000,0,3000,,2025/12/25 16:16:44
20251225-009-01,2025-12-25,土本,鯖江店,店舗,ネット検索,その他,その他,,手入力,アイサポ,,3000,0,3000,0,3000,,2025/12/25 17:40:30
20251225-010-01,2025-12-25,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE2,TH-F,アイサポ,,4982,3040,1942,0,4982,,2025/12/25 19:15:34
20251225-010-02,2025-12-25,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,1100,4336,,2025/12/25 19:15:34
20251225-011-01,2025-12-25,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/25 19:16:03
20251226-001-01,2025-12-26,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,ケース,アイサポ,,500,100,400,0,500,,2025/12/26 14:45:17
20251226-002-01,2025-12-26,堀,福井店,店舗,ネット検索,中古販売,中古,12,128GB 並品,アイサポ,350643633854941,29980,18920,11060,0,29980,,2025/12/26 15:07:15
20251226-002-02,2025-12-26,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,14,未修理,アイサポ,,3000,0,3000,0,3000,,2025/12/26 15:07:15
20251226-003-01,2025-12-26,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,12Pro,リアカメラ,アイサポ,,18000,9900,8100,4980,13020,,2025/12/26 15:40:21
20251226-003-02,2025-12-26,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,12Pro,カメラ窓,アイサポ,,9073,480,8593,0,9073,,2025/12/26 15:40:21
20251226-003-03,2025-12-26,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,12Pro,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/26 15:40:21
20251226-003-04,2025-12-26,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/26 15:40:21
20251226-003-05,2025-12-26,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/26 15:40:21
20251226-004-01,2025-12-26,土本,鯖江店,店舗,ネット検索,iPad修理,iPad,Pad9,バッテリー,アイサポ,,13165,2290,10875,0,13165,,2025/12/26 15:43:20
20251226-005-01,2025-12-26,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,14,TH-L,アイサポ,,18982,7640,11342,0,18982,,2025/12/26 17:34:49
20251226-006-01,2025-12-26,堀,福井店,店舗,リピーター,iPhone修理,iPhone,11Pro,TH-L,HW,,13982,2250,11732,769,13213,,2025/12/26 19:08:11
20251226-007-01,2025-12-26,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,X,バッテリー,アイサポ,,5436,2240,3196,0,5436,,2025/12/26 19:08:58
20251226-007-02,2025-12-26,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/26 19:08:58
20251226-008-01,2025-12-26,土本,鯖江店,店舗,リピーター,iPhone修理,iPhone,SE2,TH-F,アイサポ,,4982,3040,1942,344,4638,,2025/12/26 19:14:55
20251227-001-01,2025-12-27,龍田,鯖江店,店舗,ネット検索,iPhone修理,iPhone,14,リアカメラ,アイサポ,,18000,9850,8150,100,17900,,2025/12/27 17:31:07
20251227-002-01,2025-12-27,龍田,鯖江店,店舗,ネット検索,iPhone修理,iPhone,XS,バッテリー,アイサポ,,5891,2440,3451,100,5791,,2025/12/27 17:31:37
20251227-002-02,2025-12-27,龍田,鯖江店,店舗,ネット検索,iPhone修理,iPhone,13mini,バッテリー,アイサポ,,8618,3340,5278,0,8618,,2025/12/27 17:31:37
20251227-003-01,2025-12-27,龍田,鯖江店,店舗,リピーター,iPhone修理,iPhone,14Pro,HGバッテリー,アイサポ,,13436,5440,7996,776,12660,,2025/12/27 17:32:32
20251227-003-02,2025-12-27,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/27 17:32:32
20251227-004-01,2025-12-27,龍田,鯖江店,店舗,リピーター,iPhone修理,iPhone,X,バッテリー,アイサポ,,5436,2240,3196,0,5436,,2025/12/27 17:33:17
20251227-004-02,2025-12-27,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/27 17:33:17
20251227-004-03,2025-12-27,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,ケース,アイサポ,,1000,100,900,500,500,,2025/12/27 17:33:17
20251227-005-01,2025-12-27,龍田,鯖江店,店舗,リピーター,iPhone修理,iPhone,14Pro,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/27 17:33:46
20251227-005-02,2025-12-27,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/27 17:33:46
20251227-006-01,2025-12-27,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/27 17:33:57
20251227-007-01,2025-12-27,龍田,鯖江店,店舗,リピーター,中古販売,中古,15Pro,256GB 良品,アイサポ,354230912234967,118164,94000,24164,0,118164,,2025/12/27 17:34:54
20251227-007-02,2025-12-27,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/27 17:34:54
20251227-008-01,2025-12-27,龍田,鯖江店,店舗,通りがかり,その他,その他,,手入力,アイサポ,,6071,727,5344,0,6071,,2025/12/27 17:51:31
20251227-009-01,2025-12-27,その他,福井店,店舗,通りがかり,中古販売,中古,SE3,64GB 良品,アイサポ,355486593896097,34980,21300,13680,0,34980,,2025/12/27 19:00:03
20251227-009-02,2025-12-27,その他,福井店,店舗,通りがかり,データ移行,データ移行,,データ移行,アイサポ,,3000,0,3000,0,3000,,2025/12/27 19:00:03
20251227-009-03,2025-12-27,その他,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/27 19:00:03
20251227-009-04,2025-12-27,その他,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,ケース,アイサポ,,500,100,400,0,500,,2025/12/27 19:00:03
20251227-010-01,2025-12-27,堀,福井店,店舗,リピーター,iPhone修理,iPhone,13mini,HG-L,アイサポ,,31255,14090,17165,1824,29431,,2025/12/27 20:00:50
20251227-010-02,2025-12-27,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/27 20:00:50
20251227-011-01,2025-12-27,堀,福井店,店舗,リピーター,iPhone修理,iPhone,13mini,未修理,アイサポ,,3000,0,3000,0,3000,,2025/12/27 20:01:11
20251227-012-01,2025-12-27,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE2,HGバッテリー,アイサポ,,8436,3390,5046,0,8436,,2025/12/27 20:02:23
20251227-012-02,2025-12-27,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/27 20:02:23
20251227-012-03,2025-12-27,堀,福井店,店舗,ネット検索,その他,その他,,手入力,アイサポ,,1000,0,1000,0,1000,,2025/12/27 20:02:23
20251227-013-01,2025-12-27,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,0,500,0,500,,2025/12/27 20:02:47
20251227-014-01,2025-12-27,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/27 20:03:03
20251227-015-01,2025-12-27,堀,福井店,店舗,リピーター,iPhone修理,iPhone,14Pro,HGバッテリー,アイサポ,,13436,5440,7996,0,13436,,2025/12/27 20:03:33
20251227-015-02,2025-12-27,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/27 20:03:33
20251227-016-01,2025-12-27,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,12ProMax,バッテリー,アイサポ,,8164,3190,4974,0,8164,,2025/12/27 20:03:57
20251227-017-01,2025-12-27,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,手入力,アイサポ,,500,150,350,0,500,,2025/12/27 20:04:20
20251227-018-01,2025-12-27,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/27 20:04:43
20251227-019-01,2025-12-27,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,13mini,バッテリー,アイサポ,,8618,3340,5278,0,8618,,2025/12/27 20:05:17
20251228-001-01,2025-12-28,龍田,鯖江店,店舗,リピーター,iPhone修理,iPhone,13,HGバッテリー,アイサポ,,11618,4790,6828,630,10988,,2025/12/28 12:44:40
20251228-001-02,2025-12-28,龍田,鯖江店,店舗,リピーター,iPhone修理,iPhone,13Pro,HGバッテリー,アイサポ,,12073,4990,7083,680,11393,,2025/12/28 12:44:40
20251228-001-03,2025-12-28,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/28 12:44:40
20251228-001-04,2025-12-28,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/28 12:44:40
20251228-001-05,2025-12-28,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/28 12:44:40
20251228-002-01,2025-12-28,龍田,鯖江店,店舗,リピーター,iPhone修理,iPhone,12,HGバッテリー,アイサポ,,10709,4340,6369,0,10709,,2025/12/28 12:45:04
20251228-002-02,2025-12-28,龍田,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/28 12:45:04
20251228-003-01,2025-12-28,龍田,鯖江店,店舗,リピーター,iPhone修理,iPhone,11,バッテリー,アイサポ,,6345,2490,3855,100,6245,,2025/12/28 12:45:24
20251228-004-01,2025-12-28,龍田,鯖江店,店舗,通りがかり,中古販売,中古,SE2,64GB 良品,アイサポ,352980535194341,15436,8400,7036,0,15436,,2025/12/28 12:46:17
20251228-005-01,2025-12-28,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE,バッテリー,HW,,4527,590,3937,0,4527,,2025/12/28 16:25:28
20251228-006-01,2025-12-28,堀,福井店,店舗,リピーター,その他,その他,,手入力,アイサポ,,3300,990,2310,0,3300,,2025/12/28 16:26:56
20251228-007-01,2025-12-28,堀,福井店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/28 16:27:20
20251228-008-01,2025-12-28,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,12,HGバッテリー,アイサポ,,10709,4340,6369,0,10709,,2025/12/28 16:27:41
20251228-009-01,2025-12-28,堀,福井店,店舗,通りがかり,iPad修理,iPad,Pro11-1,未修理,アイサポ,,3000,0,3000,0,3000,,2025/12/28 16:28:09
20251228-010-01,2025-12-28,堀,福井店,店舗,ネット検索,中古販売,中古,13,256GB 美品,アイサポ,357654178083260,55980,18000,37980,0,55980,,2025/12/28 16:29:36
20251228-010-02,2025-12-28,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/28 16:29:36
20251228-010-03,2025-12-28,堀,福井店,店舗,ネット検索,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,0,500,0,500,,2025/12/28 16:29:36
20251228-011-01,2025-12-28,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,SE3,バッテリー,アイサポ,,5891,2290,3601,0,5891,,2025/12/28 16:30:01
20251228-012-01,2025-12-28,堀,福井店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/28 16:30:18
20251228-013-01,2025-12-28,堀,福井店,店舗,ネット検索,iPhone修理,iPhone,13mini,バッテリー,アイサポ,,8618,3340,5278,0,8618,,2025/12/28 16:30:38
20251228-014-01,2025-12-28,龍田,鯖江店,店舗,ネット検索,iPhone修理,iPhone,14Pro,HGバッテリー,HW,,13436,1200,12236,0,13436,,2025/12/28 17:46:01
20251228-014-02,2025-12-28,龍田,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/28 17:46:01
20251228-014-03,2025-12-28,龍田,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,カメラ保護,アイサポ,,500,0,500,0,500,,2025/12/28 17:46:01
20251228-015-01,2025-12-28,堀,福井店,店舗,リピーター,iPhone修理,iPhone,SE2,手入力,アイサポ,,5000,715,4285,0,5000,,2025/12/28 17:55:23
20251228-016-01,2025-12-28,堀,福井店,店舗,通りがかり,iPhone修理,iPhone,12Pro,作業費,アイサポ,,4528,0,4528,0,4528,,2025/12/28 19:01:26
20251229-001-01,2025-12-29,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,SE2,バッテリー,アイサポ,,5436,2090,3346,100,5336,,2025/12/29 12:20:10
20251229-002-01,2025-12-29,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,13,未修理,アイサポ,,3000,0,3000,0,3000,,2025/12/29 12:20:36
20251229-003-01,2025-12-29,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,XS,TH-L,アイサポ,,11255,4190,7065,0,11255,,2025/12/29 14:12:06
20251229-004-01,2025-12-29,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,11,バッテリー,アイサポ,,6345,2490,3855,100,6245,,2025/12/29 14:13:01
20251229-004-02,2025-12-29,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルムP,アイサポ,,1000,300,700,0,1000,,2025/12/29 14:13:01
20251229-005-01,2025-12-29,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルムP,アイサポ,,2000,300,1700,0,2000,,2025/12/29 14:13:19
20251229-006-01,2025-12-29,土本,鯖江店,店舗,通りがかり,iPhone修理,iPhone,XR,バッテリー,アイサポ,,5891,2440,3451,0,5891,,2025/12/29 14:13:41
20251229-007-01,2025-12-29,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルムP,アイサポ,,1000,300,700,0,1000,,2025/12/29 15:45:27
20251229-007-02,2025-12-29,土本,鯖江店,店舗,通りがかり,アクセサリ,アクセサリ,,フィルムP,アイサポ,,1000,300,700,0,1000,,2025/12/29 15:45:27
20251229-008-01,2025-12-29,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,13,HGバッテリー,アイサポ,,11618,4790,6828,0,11618,,2025/12/29 15:46:03
20251229-008-02,2025-12-29,土本,鯖江店,店舗,ネット検索,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/29 15:46:03
20251229-009-01,2025-12-29,土本,鯖江店,店舗,リピーター,iPhone修理,iPhone,SE2,HGバッテリー,アイサポ,,8436,3390,5046,423,8013,,2025/12/29 16:04:13
20251229-010-01,2025-12-29,土本,鯖江店,店舗,リピーター,iPhone修理,iPhone,XS,HGバッテリー,HW,,3000,950,2050,0,3000,,2025/12/29 16:19:18
20251229-010-02,2025-12-29,土本,鯖江店,店舗,リピーター,アクセサリ,アクセサリ,,フィルム,アイサポ,,1000,150,850,0,1000,,2025/12/29 16:19:18
20251229-011-01,2025-12-29,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,11,TH-F,アイサポ,,9073,5280,3793,0,9073,,2025/12/29 19:20:12
20251229-011-02,2025-12-29,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,11,バッテリー,アイサポ,,6345,2490,3855,1000,5345,,2025/12/29 19:20:12
20251229-011-03,2025-12-29,土本,鯖江店,店舗,ネット検索,iPhone修理,iPhone,12Pro,HGバッテリー,アイサポ,,10709,4340,6369,0,10709,,2025/12/29 19:20:12
20251229-012-01,2025-12-29,龍田,福井店,店舗,その他,iPhone修理,iPhone,12,HGバッテリー,アイサポ,,10709,4340,6369,0,10709,,2025/12/29 19:40:50
